School,Nickname,City,State,Conference,Type
University of South Florida,Bulls,Tampa,Florida,American Athletic Conference,State
Southeast Missouri State University,Redhawks,Cape Girardeau,Missouri,Ohio Valley Conference,State
Southeastern Louisiana University,Lions and Lady Lions,Hammond,Louisiana,Southland Conference,State
Southern University,Jaguars and Lady Jaguars,Baton Rouge,Louisiana,Southwestern Athletic Conference,State
University of Southern California,Trojans[A 31][A 32],Los Angeles,California,Pac-12 Conference,Private/Non-Sectarian
Southern Illinois University Carbondale,Salukis,Carbondale,Illinois,Missouri Valley Conference[h],State
Southern Illinois University Edwardsville,Cougars[A 33],Edwardsville,Illinois,Ohio Valley Conference,State
Southern Methodist University,Mustangs,University Park,Texas,American Athletic Conference,Private/Methodist
University of Southern Mississippi,Golden Eagles and Lady Eagles,Hattiesburg,Mississippi,Conference USA,State
Southern Utah University,Thunderbirds,Cedar City,Utah,Big Sky Conference,State
Stanford University,Cardinal,Palo Alto,California,Pac-12 Conference,Private/Non-Sectarian
Stephen F. Austin State University,Lumberjacks and Ladyjacks,Nacogdoches,Texas,Southland Conference,State
Stetson University,Hatters,DeLand,Florida,Atlantic Sun Conference[a],Private/Non-Sectarian
Stony Brook University,Seawolves,Stony Brook,New York,America East Conference,State
Syracuse University,Orange,Syracuse,New York,Atlantic Coast Conference,Private/Methodist
Temple University,Owls,Philadelphia,Pennsylvania,American Athletic Conference,State-related
University of Tennessee,Volunteers and Lady Vols[A 34],Knoxville,Tennessee,Southeastern Conference,State
University of Tennessee at Chattanooga,Mocs and Lady Mocs,Chattanooga,Tennessee,Southern Conference,State
University of Tennessee at Martin,Skyhawks,Martin,Tennessee,Ohio Valley Conference,State
Tennessee State University,Tigers and Lady Tigers,Nashville,Tennessee,Ohio Valley Conference,State
Tennessee Technological University,Golden Eagles,Cookeville,Tennessee,Ohio Valley Conference,State
Texas A&M University,Aggies,College Station,Texas,Southeastern Conference,State
Texas A&M University–Corpus Christi,Islanders,Corpus Christi,Texas,Southland Conference,State
University of Texas at Arlington,Mavericks,Arlington,Texas,Sun Belt Conference,State
University of Texas at Austin,Longhorns,Austin,Texas,Big 12 Conference,State
Texas Christian University,Horned Frogs and Lady Frogs,Fort Worth,Texas,Big 12 Conference,Private/Disciples of Christ
University of Texas at El Paso,Miners,El Paso,Texas,Conference USA,State
University of Texas Rio Grande Valley,Vaqueros,Edinburg[A 35],Texas,Conference USA,State
University of Texas at San Antonio,Roadrunners,San Antonio,Texas,Conference USA,State
Texas Southern University,Tigers and Lady Tigers,Houston,Texas,Southwestern Athletic Conference,State
Texas State University,Bobcats,San Marcos,Texas,Sun Belt Conference,State
Texas Tech University,Red Raiders[A 36],Lubbock,Texas,Big 12 Conference,State
University of Toledo,Rockets,Toledo,Ohio,Mid-American Conference,State
Towson University,Tigers,Towson,Maryland,Colonial Athletic Association,State
Troy University,Trojans,Troy,Alabama,Sun Belt Conference,State
Tulane University,Green Wave,New Orleans,Louisiana,American Athletic Conference,Private/Non-Sectarian
University of Tulsa,Golden Hurricane,Tulsa,Oklahoma,American Athletic Conference,Private/Presbyterian
United States Air Force Academy (Air Force),Falcons,Colorado Springs,Colorado,Mountain West Conference,Federal academy
United States Military Academy (Army)[A 37],Black Knights,West Point,New York,Patriot League[r],Federal academy
United States Naval Academy (Navy),Midshipmen,Annapolis,Maryland,Patriot League[s],Federal academy
University of Utah,Utes[A 38],Salt Lake City,Utah,Pac-12 Conference,State
Utah State University,Aggies,Logan,Utah,Mountain West Conference,State
Utah Valley University,Wolverines,Orem,Utah,Western Athletic Conference,State
Valparaiso University,Crusaders,Valparaiso,Indiana,Missouri Valley Conference[a],Private/Lutheran
Vanderbilt University,Commodores,Nashville,Tennessee,Southeastern Conference,Private/Non-Sectarian
University of Vermont,Catamounts,Burlington,Vermont,America East Conference,State
Villanova University,Wildcats,Radnor Township,Pennsylvania,Big East Conference,Private/Catholic
University of Virginia,Cavaliers,Charlottesville,Virginia,Atlantic Coast Conference,State
Virginia Commonwealth University,Rams,Richmond,Virginia,Atlantic 10 Conference,State
Virginia Military Institute,Keydets,Lexington,Virginia,Southern Conference,State
Virginia Tech[A 39],Hokies,Blacksburg,Virginia,Atlantic Coast Conference,State
Wagner College,Seahawks,Staten Island,New York,Northeast Conference,Private/Lutheran
Wake Forest University,Demon Deacons,Winston-Salem,North Carolina,Atlantic Coast Conference,Private/Non-Sectarian
University of Washington,Huskies,Seattle,Washington,Pac-12 Conference,State
Washington State University,Cougars,Pullman,Washington,Pac-12 Conference,State
Weber State University,Wildcats,Ogden,Utah,Big Sky Conference,State
West Virginia University,Mountaineers,Morgantown,West Virginia,Big 12 Conference,State
Western Carolina University,Catamounts,Cullowhee,North Carolina,Southern Conference,State
Western Illinois University,Leathernecks,Macomb,Illinois,The Summit League[h],State
Western Kentucky University,Hilltoppers and Lady Toppers,Bowling Green,Kentucky,Conference USA,State
Western Michigan University,Broncos,Kalamazoo,Michigan,Mid-American Conference,State
Wichita State University,Shockers,Wichita,Kansas,American Athletic Conference,State
College of William & Mary,Tribe,Williamsburg,Virginia,Colonial Athletic Association,State
Winthrop University,Eagles,Rock Hill,South Carolina,Big South Conference,State
University of Wisconsin–Green Bay,Phoenix[A 40],Green Bay,Wisconsin,Horizon League,State
University of Wisconsin–Madison,Badgers,Madison,Wisconsin,Big Ten Conference,State
University of Wisconsin–Milwaukee,Panthers[A 41],Milwaukee,Wisconsin,Horizon League,State
Wofford College,Terriers,Spartanburg,South Carolina,Southern Conference,Private/Methodist
Wright State University,Raiders,Fairborn,Ohio,Horizon League,State
University of Wyoming,Cowboys and Cowgirls,Laramie,Wyoming,Mountain West Conference,State
Xavier University,Musketeers,Cincinnati,Ohio,Big East Conference,Private/Catholic
Yale University,Bulldogs,New Haven,Connecticut,Ivy League,Private/Non-Sectarian
Youngstown State University,Penguins,Youngstown,Ohio,Horizon League[h],State
